B03, Trade, 2575.654, 164, B03, S04, 1
B03, Trade, 2577.885, 163, S05, B03, 1
B03, Trade, 2587.962, 162, S03, B03, 1
B03, Trade, 2620.000, 153, S04, B03, 1
B03, Trade, 2639.962, 156, B03, S04, 1
B03, Trade, 2646.308, 157, S05, B03, 1
B03, Trade, 2656.615, 155, S08, B03, 1
B03, Trade, 2669.731, 162, B03, S05, 1
B03, Trade, 2686.885, 158, S10, B03, 1
B03, Trade, 2689.654, 162, S01, B03, 1
B03, Trade, 2707.462, 155, B03, S00, 1
B03, Trade, 2709.000, 162, S10, B03, 1
B03, Trade, 2734.346, 170, S01, B03, 1
B03, Trade, 2747.423, 156, S05, B03, 1
B03, Trade, 2757.462, 166, B03, S10, 1
B03, Trade, 2766.192, 162, S07, B03, 1
B03, Trade, 2775.308, 163, S03, B03, 1
B03, Trade, 2803.462, 169, B03, S07, 1
B03, Trade, 2806.000, 169, B03, S02, 1
B03, Trade, 2828.231, 160, S03, B03, 1
B03, Trade, 2835.923, 166, S04, B03, 1
B03, Trade, 2842.462, 183, B03, S04, 1
B03, Trade, 2859.731, 184, B03, S11, 1
B03, Trade, 2866.846, 169, B03, S11, 1
B03, Trade, 2878.462, 160, B03, S04, 1
B03, Trade, 2886.692, 165, S07, B03, 1
B03, Trade, 2904.231, 172, S00, B03, 1
B03, Trade, 2917.423, 168, B03, S10, 1
B03, Trade, 2941.423, 171, S05, B03, 1
B03, Trade, 2949.808, 168, S10, B03, 1
B03, Trade, 2966.308, 170, B03, S00, 1
B03, Trade, 2970.462, 172, S05, B03, 1
B03, Trade, 2987.654, 168, S03, B03, 1
B03, Trade, 2997.308, 155, B03, S01, 1
B03, Trade, 3007.269, 168, B03, S10, 1
B03, Trade, 3014.808, 169, S03, B03, 1
B03, Trade, 3029.885, 162, S05, B03, 1
B03, Trade, 3039.769, 180, B03, S04, 1
B03, Trade, 3056.962, 161, B03, S01, 1
B03, Trade, 3066.846, 170, B03, S02, 1
B03, Trade, 3072.231, 166, B03, S00, 1
B03, Trade, 3099.731, 178, B03, S02, 1
B03, Trade, 3104.885, 160, B03, S06, 1
B03, Trade, 3112.308, 159, S01, B03, 1
B03, Trade, 3123.000, 158, S08, B03, 1
B03, Trade, 3143.500, 165, S04, B03, 1
B03, Trade, 3160.423, 159, S05, B03, 1
B03, Trade, 3161.462, 164, S08, B03, 1
B03, Trade, 3177.923, 160, S00, B03, 1
B03, Trade, 3193.115, 167, B03, S01, 1
B03, Trade, 3193.962, 166, S03, B03, 1
B03, Trade, 3226.346, 161, S00, B03, 1
B03, Trade, 3232.538, 164, B03, S01, 1
B03, Trade, 3248.462, 165, B03, S00, 1
B03, Trade, 3263.038, 155, S08, B03, 1
B03, Trade, 3275.385, 168, S05, B03, 1
B03, Trade, 3286.500, 165, S05, B03, 1
B03, Trade, 3305.038, 167, B03, S01, 1
B03, Trade, 3316.577, 157, S06, B03, 1
B03, Trade, 3323.692, 161, S07, B03, 1
B03, Trade, 3341.615, 164, B03, S05, 1
B03, Trade, 3355.231, 173, B03, S00, 1
B03, Trade, 3362.192, 166, S03, B03, 1
B03, Trade, 3401.038, 159, B03, S00, 1
B03, Trade, 3408.231, 161, S03, B03, 1
B03, Trade, 3413.731, 156, S02, B03, 1
B03, Trade, 3433.115, 155, S05, B03, 1
B03, Trade, 3439.615, 164, S05, B03, 1
B03, Trade, 3446.192, 159, S03, B03, 1
