B00, 0
B01, 0
B02, 0
B03, 0
B09, Trade, 5015.895, 110, S02, B09, 1
B09, Trade, 5046.211, 128, S05, B09, 1
B09, Trade, 5062.053, 115, S02, B09, 1
B09, Trade, 5086.895, 128, S05, B09, 1
B09, Trade, 5138.737, 142, B09, S03, 1
B09, Trade, 5166.316, 128, S05, B09, 1
B09, Trade, 5192.684, 128, S05, B09, 1
B09, Trade, 5213.474, 121, S02, B09, 1
B09, Trade, 5245.000, 133, S02, B09, 1
B09, Trade, 5281.316, 127, S01, B09, 1
B09, Trade, 5323.737, 142, B09, S01, 1
B09, Trade, 5330.684, 142, B09, S03, 1
B09, Trade, 5375.737, 128, S05, B09, 1
B09, Trade, 5412.158, 127, S01, B09, 1
B09, Trade, 5441.737, 128, S05, B09, 1
B09, Trade, 5474.211, 128, S05, B09, 1
B09, Trade, 5498.368, 142, B09, S01, 1
B09, Trade, 5526.526, 127, S01, B09, 1
B09, Trade, 5561.895, 142, B09, S04, 1
B09, Trade, 5569.316, 142, B09, S01, 1
B09, Trade, 5604.526, 128, S05, B09, 1
B09, Trade, 5647.158, 131, S05, B09, 1
B09, Trade, 5683.158, 142, B09, S00, 1
B09, Trade, 5712.421, 123, S01, B09, 1
B09, Trade, 5720.105, 135, S05, B09, 1
B09, Trade, 5762.474, 117, S01, B09, 1
B09, Trade, 5780.895, 133, S05, B09, 1
B09, Trade, 5804.895, 128, S05, B09, 1
B09, Trade, 5839.263, 131, S05, B09, 1
B09, Trade, 5865.105, 114, S01, B09, 1
B09, Trade, 5900.158, 133, S05, B09, 1
B09, Trade, 5945.211, 142, B09, S02, 1
B09, Trade, 5972.474, 127, S01, B09, 1
B10, 100
B10, Trade, 3001.105, 128, S05, B10, 1
B10, Trade, 3010.316, 141, S02, B10, 1
B10, Trade, 3067.684, 123, B10, S00, 1
B10, Trade, 3078.579, 128, S05, B10, 1
B10, Trade, 3126.947, 148, S02, B10, 1
B10, Trade, 3136.158, 150, S07, B10, 1
B10, Trade, 3159.842, 140, S02, B10, 1
B10, Trade, 3192.737, 124, S02, B10, 1
B10, Trade, 3232.263, 119, S01, B10, 1
B10, Trade, 3261.632, 127, S01, B10, 1
B10, Trade, 3300.421, 121, S01, B10, 1
B10, Trade, 3332.684, 140, B10, S03, 1
B10, Trade, 3361.000, 127, S02, B10, 1
B10, Trade, 3380.211, 128, S05, B10, 1
B10, Trade, 3426.526, 136, B10, S04, 1
B10, Trade, 3450.474, 131, S01, B10, 1
B10, Trade, 3481.263, 128, S05, B10, 1
B10, Trade, 3517.211, 129, S01, B10, 1
B10, Trade, 3535.947, 128, S05, B10, 1
B10, Trade, 3580.579, 146, B10, S01, 1
B10, Trade, 3606.053, 122, S02, B10, 1
B10, Trade, 3625.632, 138, S05, B10, 1
B10, Trade, 3668.842, 128, S05, B10, 1
B10, Trade, 3685.737, 140, B10, S01, 1
B10, Trade, 3711.789, 140, S02, B10, 1
B10, Trade, 3738.947, 126, S02, B10, 1
B10, Trade, 3774.000, 121, S01, B10, 1
B10, Trade, 3800.105, 124, S01, B10, 1
B10, Trade, 3835.474, 149, S05, B10, 1
B10, Trade, 3866.158, 140, B10, S01, 1
B10, Trade, 3909.316, 106, S02, B10, 1
B10, Trade, 3934.579, 128, S02, B10, 1
B10, Trade, 3952.421, 131, S01, B10, 1
B10, Trade, 3997.105, 127, S02, B10, 1
B10, Trade, 4006.263, 128, S05, B10, 1
B10, Trade, 4058.842, 128, S05, B10, 1
B10, Trade, 4067.211, 110, S01, B10, 1
B10, Trade, 4119.158, 150, S07, B10, 1
B10, Trade, 4129.895, 146, B10, S04, 1
B10, Trade, 4163.421, 126, B10, S03, 1
B10, Trade, 4183.684, 126, B10, S03, 1
B10, Trade, 4227.053, 123, B10, S00, 1
B10, Trade, 4257.474, 128, S05, B10, 1
B10, Trade, 4279.526, 143, S06, B10, 1
B10, Trade, 4312.263, 140, S06, B10, 1
B10, Trade, 4361.158, 128, S05, B10, 1
B10, Trade, 4386.684, 123, B10, S00, 1
B10, Trade, 4418.053, 128, S05, B10, 1
B10, Trade, 4452.316, 136, S05, B10, 1
B10, Trade, 4461.158, 140, S02, B10, 1
B10, Trade, 4510.789, 124, S01, B10, 1
